"-78.83","53.01","WEMINDJI A","7098905","2023-01-14 04:00","2023","01","14","04:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-14 05:00","2023","01","14","05:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-14 06:00","2023","01","14","06:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-14 07:00","2023","01","14","07:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-14 08:00","2023","01","14","08:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-14 09:00","2023","01","14","09:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-14 10:00","2023","01","14","10:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-14 11:00","2023","01","14","11:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-14 12:00","2023","01","14","12:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-14 13:00","2023","01","14","13:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-14 14:00","2023","01","14","14:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-14 15:00","2023","01","14","15:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-14 16:00","2023","01","14","16:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-14 17:00","2023","01","14","17:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-14 18:00","2023","01","14","18:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-14 19:00","2023","01","14","19:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-14 20:00","2023","01","14","20:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-14 21:00","2023","01","14","21:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-14 22:00","2023","01","14","22:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-14 23:00","2023","01","14","23:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-15 00:00","2023","01","15","00:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-15 01:00","2023","01","15","01:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-15 02:00","2023","01","15","02:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-15 03:00","2023","01","15","03:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-15 04:00","2023","01","15","04:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-15 05:00","2023","01","15","05:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-15 06:00","2023","01","15","06:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-15 07:00","2023","01","15","07:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-15 08:00","2023","01","15","08:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-15 09:00","2023","01","15","09:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-15 10:00","2023","01","15","10:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-15 11:00","2023","01","15","11:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-15 12:00","2023","01","15","12:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-15 13:00","2023","01","15","13:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-15 14:00","2023","01","15","14:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-15 15:00","2023","01","15","15:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-15 16:00","2023","01","15","16:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-15 17:00","2023","01","15","17:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-15 18:00","2023","01","15","18:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-15 19:00","2023","01","15","19:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-15 20:00","2023","01","15","20:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-15 21:00","2023","01","15","21:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-15 22:00","2023","01","15","22:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-15 23:00","2023","01","15","23:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-16 00:00","2023","01","16","00:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-16 01:00","2023","01","16","01:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-16 02:00","2023","01","16","02:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-16 03:00","2023","01","16","03:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-16 04:00","2023","01","16","04:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-16 05:00","2023","01","16","05:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-16 06:00","2023","01","16","06:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-16 07:00","2023","01","16","07:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-16 08:00","2023","01","16","08:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-16 09:00","2023","01","16","09:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-16 10:00","2023","01","16","10:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-16 11:00","2023","01","16","11:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-16 12:00","2023","01","16","12:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-16 13:00","2023","01","16","13:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-16 14:00","2023","01","16","14:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-16 15:00","2023","01","16","15:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-16 16:00","2023","01","16","16:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-16 17:00","2023","01","16","17:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-16 18:00","2023","01","16","18:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-16 19:00","2023","01","16","19:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-16 20:00","2023","01","16","20:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-16 21:00","2023","01","16","21:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-16 22:00","2023","01","16","22:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-16 23:00","2023","01","16","23:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-17 00:00","2023","01","17","00:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-17 01:00","2023","01","17","01:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-17 02:00","2023","01","17","02:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-17 03:00","2023","01","17","03:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-17 04:00","2023","01","17","04:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-17 05:00","2023","01","17","05:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-17 06:00","2023","01","17","06:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-17 07:00","2023","01","17","07:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-17 08:00","2023","01","17","08:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-17 09:00","2023","01","17","09:00"
"-78.83","53.01","WEMINDJI A","7098905","2023-01-17 10:00","2023","01","17","10:00"
